id,name,slug,is_active,is_listed,is_redistributable,first_historical_data,last_historical_data
1206,LuaSwap,luaswap,1,0,0,2021-05-23T03:10:00.000Z,2023-11-08T04:00:00.000Z
1209,mimo.exchange,mimo-exchange,1,0,0,2022-04-07T04:35:00.000Z,2023-11-08T04:00:00.000Z
1210,Lukutex,lukutex,0,0,0,2023-11-08T04:01:19.968Z,2023-11-08T04:01:19.968Z
1213,Mento,mento,1,0,0,2021-02-20T16:35:00.000Z,2023-11-08T04:00:00.000Z
1215,Foxbit,foxbit,1,0,1,2022-06-22T13:55:00.000Z,2023-11-08T04:00:00.000Z
1232,KLAYswap,klayswap,1,0,1,2021-02-04T00:20:00.000Z,2023-11-08T04:00:00.000Z
1234,Venus,venus,1,0,0,2020-12-10T13:10:00.000Z,2023-11-08T04:00:00.000Z
1235,DeFiChain DEX,defichain-dex,1,0,1,2021-06-15T02:50:00.000Z,2023-11-08T04:00:00.000Z
1238,Garantex,garantex,0,0,0,2023-11-08T04:01:20.568Z,2023-11-08T04:01:20.568Z
1247,FameEX,fameex,1,0,0,2023-03-29T04:40:00.000Z,2023-11-08T04:00:00.000Z
1250,Tokpie,tokpie,1,0,0,2023-03-22T04:40:00.000Z,2023-11-08T04:00:00.000Z
1254,Blockchain.com,blockchain-com-exchange,1,0,1,2021-02-06T05:30:00.000Z,2023-11-08T04:00:00.000Z
1261,OpenOcean,openocean,1,0,0,2021-03-08T14:25:00.000Z,2023-11-08T04:00:00.000Z
1262,1inch Liquidity Protocol,1inch-liquidity-protocol,1,0,1,2021-03-17T06:45:00.000Z,2023-11-08T04:00:00.000Z
1267,Wanswap,wanswap,1,0,1,2021-03-03T03:05:00.000Z,2023-11-08T04:00:00.000Z
1279,MDEX,mdex,1,0,0,2021-02-17T13:15:00.000Z,2023-11-08T04:00:00.000Z
1281,ApeSwap (BSC),apeswap,1,0,0,2021-07-26T15:50:00.000Z,2023-11-08T04:00:00.000Z
1289,WOO X,wootrade,1,0,1,2021-04-26T12:35:00.000Z,2023-11-08T04:00:00.000Z
1293,QuickSwap,quickswap,1,0,1,2021-03-22T09:40:00.000Z,2023-11-08T04:00:00.000Z
1295,LCX Exchange,lcx-exchange,1,0,0,2021-05-11T10:50:00.000Z,2023-11-08T04:00:00.000Z
1297,Swop.fi,swop-fi,1,0,0,2022-06-29T19:10:00.000Z,2023-11-08T04:00:00.000Z
1298,Tarmex,tarmex,1,0,0,2023-10-25T09:50:00.000Z,2023-11-08T04:00:00.000Z
1301,Perpetual Protocol,perpetual-protocol,1,0,0,2021-05-09T04:00:00.000Z,2023-11-08T04:00:00.000Z
1302,BakerySwap,bakeryswap,1,0,0,2021-03-15T12:40:00.000Z,2023-11-08T04:00:00.000Z
1304,Dfyn Network,dfyn-network,1,0,1,2021-05-06T12:15:00.000Z,2023-11-08T04:00:00.000Z
1307,Energiswap,energiswap,1,0,0,2023-02-11T18:35:00.000Z,2023-11-08T04:00:00.000Z
1310,Capital DEX,capital-dex,1,0,0,2021-07-13T12:10:00.000Z,2023-11-08T04:00:00.000Z
1314,Kwikswap,kwikswap,1,0,0,2021-06-04T18:20:00.000Z,2023-11-08T04:00:00.000Z
1319,DODO (BSC),dodo-bsc,1,0,0,2021-04-08T17:10:00.000Z,2023-11-08T04:00:00.000Z
